Age Group,Investment Time Horizon,Risk Type,Allocation
18-25,35,Equity – Mod,40.0
18-25,36,Equity – Mod,40.0
18-25,37,Equity – Mod,40.0
18-25,38,Equity – Mod,40.0
18-25,39,Equity – Mod,40.0
18-25,40,Equity – Mod,40.0
18-25,41,Equity – Mod,40.0
18-25,42,Equity – Mod,40.0
18-25,43,Equity – Mod,40.0
18-25,44,Equity – Mod,40.0
18-25,45,Equity – Mod,40.0
18-25,46,Equity – Mod,40.0
18-25,47,Equity – Mod,40.0
18-25,48,Equity – Mod,40.0
18-25,49,Equity – Mod,40.0
18-25,50,Equity – Mod,40.0
18-25,< 3M,Equity – Agg,
18-25,< 6M,Equity – Agg,
18-25,< 1Y,Equity – Agg,
18-25,1,Equity – Agg,
18-25,2,Equity – Agg,
18-25,3,Equity – Agg,
18-25,4,Equity – Agg,
18-25,5,Equity – Agg,
18-25,6,Equity – Agg,
18-25,7,Equity – Agg,
18-25,8,Equity – Agg,20.0
18-25,9,Equity – Agg,30.0
18-25,10,Equity – Agg,40.0
18-25,11,Equity – Agg,50.0
18-25,12,Equity – Agg,60.0
18-25,13,Equity – Agg,60.0
18-25,14,Equity – Agg,60.0
18-25,15,Equity – Agg,60.0
18-25,16,Equity – Agg,60.0
18-25,17,Equity – Agg,60.0
18-25,18,Equity – Agg,60.0
18-25,19,Equity – Agg,60.0
18-25,20,Equity – Agg,60.0
18-25,21,Equity – Agg,60.0
18-25,22,Equity – Agg,60.0
18-25,23,Equity – Agg,60.0
18-25,24,Equity – Agg,60.0
18-25,25,Equity – Agg,60.0
18-25,26,Equity – Agg,60.0
18-25,27,Equity – Agg,60.0
18-25,28,Equity – Agg,60.0
18-25,29,Equity – Agg,60.0
18-25,30,Equity – Agg,60.0
18-25,31,Equity – Agg,60.0
18-25,32,Equity – Agg,60.0
18-25,33,Equity – Agg,60.0
18-25,34,Equity – Agg,60.0
18-25,35,Equity – Agg,60.0
18-25,36,Equity – Agg,60.0
18-25,37,Equity – Agg,60.0
18-25,38,Equity – Agg,60.0
18-25,39,Equity – Agg,60.0
18-25,40,Equity – Agg,60.0
18-25,41,Equity – Agg,60.0
18-25,42,Equity – Agg,60.0
18-25,43,Equity – Agg,60.0
18-25,44,Equity – Agg,60.0
18-25,45,Equity – Agg,60.0
18-25,46,Equity – Agg,60.0
18-25,47,Equity – Agg,60.0
18-25,48,Equity – Agg,60.0
18-25,49,Equity – Agg,60.0
18-25,50,Equity – Agg,60.0
25-35,< 3M,Liquid,100.0
25-35,< 6M,Liquid,60.0
25-35,< 1Y,Liquid,
25-35,1,Liquid,
25-35,2,Liquid,
25-35,3,Liquid,
25-35,4,Liquid,
25-35,5,Liquid,
25-35,6,Liquid,
25-35,7,Liquid,
25-35,8,Liquid,
25-35,9,Liquid,
25-35,10,Liquid,
25-35,11,Liquid,
25-35,12,Liquid,
25-35,13,Liquid,
25-35,14,Liquid,
25-35,15,Liquid,
25-35,16,Liquid,
25-35,17,Liquid,
25-35,18,Liquid,
25-35,19,Liquid,
25-35,20,Liquid,
25-35,21,Liquid,
25-35,22,Liquid,
25-35,23,Liquid,
25-35,24,Liquid,
25-35,25,Liquid,
25-35,26,Liquid,
25-35,27,Liquid,
25-35,28,Liquid,
25-35,29,Liquid,
25-35,30,Liquid,
25-35,31,Liquid,
25-35,32,Liquid,
25-35,33,Liquid,
25-35,34,Liquid,
25-35,35,Liquid,
25-35,36,Liquid,
25-35,37,Liquid,
25-35,38,Liquid,
25-35,39,Liquid,
25-35,40,Liquid,
25-35,41,Liquid,
25-35,42,Liquid,
25-35,43,Liquid,
25-35,44,Liquid,
25-35,45,Liquid,
25-35,46,Liquid,
25-35,47,Liquid,
25-35,48,Liquid,
25-35,49,Liquid,
25-35,50,Liquid,
25-35,< 3M,Short Term,
25-35,< 6M,Short Term,40
25-35,< 1Y,Short Term,100
25-35,1,Short Term,80
25-35,2,Short Term, 
25-35,3,Short Term,
25-35,4,Short Term,
25-35,5,Short Term,
25-35,6,Short Term,
25-35,7,Short Term,
25-35,8,Short Term,
25-35,9,Short Term,
25-35,10,Short Term,
25-35,11,Short Term,
25-35,12,Short Term,
25-35,13,Short Term,
25-35,14,Short Term,
25-35,15,Short Term,
25-35,16,Short Term,
25-35,17,Short Term,
25-35,18,Short Term,
25-35,19,Short Term,
25-35,20,Short Term,
25-35,21,Short Term,
25-35,22,Short Term,
25-35,23,Short Term,
25-35,24,Short Term,
25-35,25,Short Term,
25-35,26,Short Term,
25-35,27,Short Term,
25-35,28,Short Term,
25-35,29,Short Term,
25-35,30,Short Term,
25-35,31,Short Term,
25-35,32,Short Term,
25-35,33,Short Term,
25-35,34,Short Term,
25-35,35,Short Term,
25-35,36,Short Term,
25-35,37,Short Term,
25-35,38,Short Term,
25-35,39,Short Term,
25-35,40,Short Term,
25-35,41,Short Term,
25-35,42,Short Term,
25-35,43,Short Term,
25-35,44,Short Term,
25-35,45,Short Term,
25-35,46,Short Term,
25-35,47,Short Term,
25-35,48,Short Term,
25-35,49,Short Term,
25-35,50,Short Term,
25-35,< 3M,Income,
25-35,< 6M,Income,
25-35,< 1Y,Income,
25-35,1,Income,20
25-35,2,Income,100
25-35,3,Income,60
25-35,4,Income,40
25-35,5,Income, 
25-35,6,Income,
25-35,7,Income,
25-35,8,Income,
25-35,9,Income,
25-35,10,Income,
25-35,11,Income,
25-35,12,Income,
25-35,13,Income,
25-35,14,Income,
25-35,15,Income,
25-35,16,Income,
25-35,17,Income,
25-35,18,Income,
